PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Child,Fare_per_Age,Title,PricePerPax
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,S,False,2.1484375,Mr,6.875
88,0,3,"Slocovski, Mr. Selman Francis",male,28.0,0,0,SOTON/OQ 392086,8.05,S,False,0.28750000000000003,Mr,8.05
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,S,False,11.434782608695652,Miss,43.833333333333336
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,S,False,0.3354166666666667,Mr,8.05
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,S,False,0.2775862068965517,Mr,8.05
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,S,False,0.39271,Mr,7.8542
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,S,False,1.329891304347826,Mr,30.5875
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,S,False,0.7913461538461538,Mr,5.14375
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,S,False,0.1228813559322034,Mr,7.25
96,0,3,"Shorney, Mr. Charles Joseph",male,28.0,0,0,374910,8.05,S,False,0.28750000000000003,Mr,8.05
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,C,False,0.488087323943662,Mr,34.6542
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,C,False,2.754708695652174,Mr,31.67915
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,S,False,0.6764705882352942,Mrs,11.5
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,S,False,0.7647058823529411,Mr,13.0
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,S,False,0.28199285714285716,Miss,7.8958
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,28.0,0,0,349215,7.8958,S,False,0.28199285714285716,Mr,7.8958
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,S,False,3.6803571428571424,Mr,38.64375
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,S,False,0.26224848484848484,Mr,8.6542
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,S,False,0.2141891891891892,Mr,2.6416666666666666
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,S,False,0.28199285714285716,Mr,7.8958
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,S,False,0.3642857142857143,Miss,7.65
108,1,3,"Moss, Mr. Albert Johan",male,28.0,0,0,312991,7.775,S,False,0.27767857142857144,Mr,7.775
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,S,False,0.2077842105263158,Mr,7.8958
110,1,3,"Moran, Miss. Bertha",female,28.0,1,0,371110,24.15,Q,False,0.8624999999999999,Miss,12.075
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,S,False,1.1063829787234043,Mr,52.0
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,C,True,0.9968413793103449,Miss,7.2271
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,S,False,0.36590909090909096,Mr,8.05
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,S,False,0.49124999999999996,Miss,4.9125
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,C,False,0.8504882352941177,Miss,14.4583
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,S,False,0.3773809523809524,Mr,7.925
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,Q,False,0.1099290780141844,Mr,7.75
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,S,False,0.7241379310344828,Mr,10.5
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,C,False,10.313366666666667,Mr,123.7604
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,S,True,15.6375,Miss,4.4678571428571425
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,S,False,3.5,Mr,24.5
122,0,3,"Moore, Mr. Leonard Charles",male,28.0,0,0,A4. 54510,8.05,S,False,0.28750000000000003,Mr,8.05
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,C,False,0.9252553846153846,Mr,15.0354
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,S,False,0.4,Miss,13.0
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,S,False,1.43125,Mr,38.64375
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,C,True,0.9368083333333334,Master,5.62085
127,0,3,"McMahon, Mr. Martin",male,28.0,0,0,370372,7.75,Q,False,0.2767857142857143,Mr,7.75
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,S,False,0.29757083333333334,Mr,7.1417
129,1,3,"Peter, Miss. Anna",female,28.0,1,1,2668,22.3583,C,False,0.7985107142857143,Miss,7.452766666666666
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,S,False,0.155,Mr,6.975
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,C,False,0.23926666666666668,Mr,7.8958
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,S,False,0.3525,Mr,7.05
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,S,False,0.30851063829787234,Mrs,7.25
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,S,False,0.896551724137931,Mrs,13.0
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,S,False,0.52,Mr,13.0
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,C,False,0.6541652173913043,Mr,15.0458
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,S,False,1.3833315789473684,Miss,8.7611
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,S,False,1.4351351351351351,Mr,26.55
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,S,False,0.57604375,Mr,9.2167
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,C,False,3.3000000000000003,Mr,79.2
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,28.0,0,2,2678,15.2458,C,False,0.5444928571428571,Mrs,5.081933333333333
142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,S,False,0.3522727272727273,Miss,7.75
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,S,False,0.6604166666666667,Mrs,7.925
144,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,Q,False,0.35526315789473684,Mr,6.75
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,S,False,0.6388888888888888,Mr,11.5
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,S,False,1.9342105263157894,Mr,12.25
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,S,False,0.28873333333333334,Mr,7.7958
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,S,True,3.8194444444444446,Miss,6.875
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,S,False,0.7123287671232876,Mr,8.666666666666666
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,S,False,0.30952380952380953,Rev,13.0
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,S,False,0.24558823529411766,Rev,12.525
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,S,False,3.027272727272727,Mrs,33.3
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,S,False,0.14504504504504506,Mr,8.05
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,S,False,0.35802469135802467,Mr,4.833333333333333
155,0,3,"Olsen, Mr. Ole Martin",male,28.0,0,0,Fa 265302,7.3125,S,False,0.2611607142857143,Mr,7.3125
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,C,False,1.203513725490196,Mr,30.6896
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,Q,False,0.48333125,Miss,7.7333
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,S,False,0.26833333333333337,Mr,8.05
159,0,3,"Smiljanic, Mr. Mile",male,28.0,0,0,315037,8.6625,S,False,0.309375,Mr,8.6625
160,0,3,"Sage, Master. Thomas Henry",male,28.0,8,2,CA. 2343,69.55,S,False,2.4839285714285713,Master,6.322727272727272
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,S,False,0.36590909090909096,Mr,8.05
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,S,False,0.39375,Mrs,15.75
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,S,False,0.29903846153846153,Mr,7.775
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,S,False,0.5095588235294117,Mr,8.6625
165,0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,S,True,39.6875,Master,6.614583333333333
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,S,True,2.2805555555555554,Master,6.841666666666666
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,28.0,0,1,113505,55.0,S,False,1.9642857142857142,Mrs,27.5
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,S,False,0.62,Mrs,4.6499999999999995
169,0,1,"Baumann, Mr. John D",male,28.0,0,0,PC 17318,25.925,S,False,0.9258928571428572,Mr,25.925
170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,S,False,2.017707142857143,Mr,56.4958
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,S,False,0.5491803278688525,Mr,33.5
172,0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,Q,True,7.28125,Master,4.854166666666667
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,S,True,11.1333,Miss,3.7111
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,S,False,0.3773809523809524,Mr,7.925
175,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,C,False,0.5481392857142857,Mr,30.6958
176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,S,False,0.4363444444444444,Mr,2.6180666666666665
177,0,3,"Lefebre, Master. Henry Forbes",male,28.0,3,1,4133,25.4667,S,False,0.909525,Master,5.0933399999999995
178,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C,False,0.5742499999999999,Miss,28.7125
179,0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,S,False,0.43333333333333335,Mr,13.0
180,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,S,False,0.0,Mr,0.0
181,0,3,"Sage, Miss. Constance Gladys",female,28.0,8,2,CA. 2343,69.55,S,False,2.4839285714285713,Miss,6.322727272727272
182,0,2,"Pernot, Mr. Rene",male,28.0,0,0,SC/PARIS 2131,15.05,C,False,0.5375,Mr,15.05
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,S,True,3.4875,Master,4.483928571428572
184,1,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,S,True,39.0,Master,9.75
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,S,True,5.50625,Miss,7.341666666666666
186,0,1,"Rood, Mr. Hugh Roscoe",male,28.0,0,0,113767,50.0,S,False,1.7857142857142858,Mr,50.0
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,28.0,1,0,370365,15.5,Q,False,0.5535714285714286,Mrs,7.75
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,S,False,0.59,Mr,26.55
189,0,3,"Bourke, Mr. John",male,40.0,1,1,364849,15.5,Q,False,0.3875,Mr,5.166666666666667
190,0,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247,7.8958,S,False,0.2193277777777778,Mr,7.8958
191,1,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,S,False,0.40625,Mrs,13.0
192,0,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,S,False,0.6842105263157895,Mr,13.0
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,S,False,0.413378947368421,Miss,3.9271
194,1,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,S,True,8.666666666666666,Master,8.666666666666666
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,C,False,0.6300181818181818,Mrs,27.7208
196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,C,False,2.5262206896551724,Miss,146.5208
197,0,3,"Mernagh, Mr. Robert",male,28.0,0,0,368703,7.75,Q,False,0.2767857142857143,Mr,7.75
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,S,False,0.2001,Mr,4.2021
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,28.0,0,0,370370,7.75,Q,False,0.2767857142857143,Miss,7.75
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,248747,13.0,S,False,0.5416666666666666,Miss,13.0
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,9.5,S,False,0.3392857142857143,Mr,9.5
202,0,3,"Sage, Mr. Frederick",male,28.0,8,2,CA. 2343,69.55,S,False,2.4839285714285713,Mr,6.322727272727272
203,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,S,False,0.1910529411764706,Mr,6.4958
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,C,False,0.15879120879120878,Mr,7.225
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,S,False,0.44722222222222224,Mr,8.05
206,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,S,True,5.23125,Miss,5.23125
207,0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,15.85,S,False,0.4953125,Mr,7.925
208,1,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,C,False,0.7225961538461539,Mr,18.7875
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,7.75,Q,False,0.484375,Miss,7.75
210,1,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,C,False,0.775,Mr,31.0
211,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,7.05,S,False,0.29375,Mr,7.05
212,1,2,"Cameron, Miss. Clear Annie",female,35.0,0,0,F.C.C. 13528,21.0,S,False,0.6,Miss,21.0
213,0,3,"Perkin, Mr. John Henry",male,22.0,0,0,A/5 21174,7.25,S,False,0.32954545454545453,Mr,7.25
214,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,S,False,0.43333333333333335,Mr,13.0
